TIME,LABEL
0.348125000,4
0.696250000,1
1.032770833,2
1.392500000,3
1.740625000,4
2.088750000,1
2.436875000,2
2.785000000,3
3.133125000,4
3.481250000,1
3.829375000,2
4.177500000,3
4.525625000,4
4.873750000,1
5.221875000,2
5.570000000,3
5.918125000,4
6.254645833,1
6.614375000,2
6.962500000,3
7.299020833,4
7.658750000,1
8.006875000,2
8.366604167,3
8.714729167,4
9.062854167,1
9.410979167,2
9.759104167,3
10.107229167,4
10.455354167,1
10.803479167,2
11.151604167,3
11.499729167,4
11.847854167,1
12.195979167,2
12.544104167,3
12.892229167,4
13.251958333,1
13.600083333,2
13.936604167,3
14.296333333,4
14.644458333,1
14.992583333,2
15.340708333,3
15.688833333,4
16.036958333,1
16.385083333,2
16.733208333,3
17.081333333,4
17.429458333,1
17.777583333,2
18.125708333,3
18.473833333,4
18.821958333,1
19.170083333,2
19.529812500,3
19.877937500,4
20.226062500,1
20.574187500,2
20.922312500,3
21.270437500,4
21.618562500,1
21.966687500,2
22.314812500,3
22.662937500,4
23.011062500,1
23.359187500,2
23.707312500,3
24.055437500,4
24.403562500,1
24.763291667,2
25.111416667,3
25.459541667,4
25.807666667,1
26.155791667,2
26.492312500,3
26.852041667,4
27.200166667,1
27.548291667,2
27.896416667,3
28.244541667,4
28.592666667,1
28.940791667,2
29.288916667,3
29.637041667,4
29.985166667,1
30.333291667,2
30.681416667,3
31.041145833,4
31.389270833,1
31.737395833,2
32.085520833,3
32.433645833,4
32.781770833,1
33.129895833,2
33.478020833,3
33.826145833,4
34.174270833,1
34.522395833,2
34.870520833,3
35.218645833,4
35.566770833,1
35.914895833,2
36.274625000,3
36.622750000,4
36.970875000,1
37.319000000,2
37.667125000,3
38.015250000,4
38.363375000,1
38.711500000,2
39.059625000,3
39.407750000,4
39.755875000,1
40.104000000,2
40.452125000,3
40.800250000,4
41.148375000,1
41.496500000,2
41.844625000,3
42.204354167,4
42.540875000,1
42.900604167,2
43.248729167,3
43.596854167,4
43.944979167,1
44.293104167,2
44.641229167,3
44.989354167,4
45.337479167,1
45.685604167,2
46.033729167,3
46.381854167,4
46.729979167,1
47.078104167,2
47.426229167,3
47.774354167,4
48.122479167,1
48.470604167,2
48.818729167,3
49.178458333,4
49.526583333,1
49.874708333,2
50.222833333,3
50.570958333,4
50.919083333,1
51.267208333,2
51.615333333,3
51.963458333,4
52.311583333,1
52.659708333,2
53.007833333,3
53.355958333,4
53.715687500,1
54.063812500,2
54.411937500,3
54.760062500,4
55.108187500,1
55.456312500,2
55.804437500,3
56.152562500,4
56.500687500,1
56.848812500,2
57.196937500,3
57.545062500,4
57.893187500,1
58.241312500,2
58.589437500,3
58.937562500,4
59.297291667,1
59.645416667,2
59.993541667,3
60.341666667,4
60.689791667,1
61.037916667,2
61.386041667,3
61.734166667,4
62.082291667,1
62.430416667,2
62.778541667,3
63.126666667,4
63.486395833,1
63.834520833,2
64.182645833,3
64.530770833,4
64.878895833,1
65.227020833,2
65.575145833,3
65.923270833,4
66.271395833,1
66.619520833,2
66.967645833,3
67.315770833,4
67.663895833,1
68.012020833,2
68.360145833,3
68.708270833,4
69.056395833,1
69.392916667,2
69.741041667,3
70.100770833,4
70.448895833,1
70.797020833,2
71.133541667,3
71.481666667,4
71.829791667,1
72.177916667,2
72.549250000,3
72.897375000,4
73.245500000,1
73.593625000,2
73.941750000,3
74.289875000,4
74.638000000,1
74.986125000,2
75.334250000,3
75.682375000,4
76.030500000,1
76.378625000,2
76.738354167,3
77.086479167,4
77.434604167,1
77.782729167,2
78.130854167,3
78.478979167,4
78.827104167,1
79.175229167,2
79.523354167,3
79.871479167,4
80.219604167,1
80.567729167,2
80.915854167,3
81.263979167,4
81.612104167,1
81.960229167,2
82.319958333,3
82.668083333,4
83.016208333,1
83.364333333,2
83.712458333,3
84.060583333,4
84.408708333,1
84.756833333,2
85.104958333,3
85.453083333,4
85.801208333,1
86.149333333,2
86.497458333,3
86.845583333,4
87.193708333,1
87.541833333,2
87.889958333,3
88.238083333,4
88.597812500,1
88.945937500,2
89.294062500,3
89.642187500,4
89.990312500,1
90.338437500,2
90.686562500,3
91.034687500,4
91.382812500,1
91.730937500,2
92.079062500,3
92.427187500,4
92.775312500,1
93.123437500,2
93.471562500,3
93.819687500,4
94.167812500,1
94.515937500,2
94.864062500,3
95.212187500,4
95.571916667,1
95.920041667,2
96.268166667,3
96.616291667,4
96.964416667,1
97.312541667,2
97.660666667,3
98.008791667,4
98.356916667,1
